track_n,line,lyric,track_title,album
1,1,He said the way my blue eyes shined,Tim McGraw,Taylor Swift
1,2,Put those Georgia stars to shame that night,Tim McGraw,Taylor Swift
1,3,"I said, ""That's a lie""Just a boy in a Chevy truck",Tim McGraw,Taylor Swift
1,4,That had a tendency of gettin' stuck,Tim McGraw,Taylor Swift
1,5,On backroads at night,Tim McGraw,Taylor Swift
1,6,And I was right there beside him all summer long,Tim McGraw,Taylor Swift
1,7,And then the time we woke up to find that summer gone,Tim McGraw,Taylor Swift
1,8,But when you think Tim McGraw,Tim McGraw,Taylor Swift
1,9,I hope you think my favorite song,Tim McGraw,Taylor Swift
1,10,The one we danced to all night long,Tim McGraw,Taylor Swift
1,11,The moon like a spotlight on the lake,Tim McGraw,Taylor Swift
1,12,When you think happiness,Tim McGraw,Taylor Swift
1,13,I hope you think that little black dress,Tim McGraw,Taylor Swift
1,14,Think of my head on your chest,Tim McGraw,Taylor Swift
1,15,And my old faded blue jeans,Tim McGraw,Taylor Swift
1,16,When you think Tim McGraw,Tim McGraw,Taylor Swift
1,17,I hope you think of me,Tim McGraw,Taylor Swift
1,18,September saw a month of tears,Tim McGraw,Taylor Swift
1,19,And thankin' God that you weren't here,Tim McGraw,Taylor Swift
1,20,To see me like that,Tim McGraw,Taylor Swift
1,21,But in a box beneath my bed,Tim McGraw,Taylor Swift
1,22,Is a letter that you never read,Tim McGraw,Taylor Swift
1,23,From three summers back,Tim McGraw,Taylor Swift
1,24,It's hard not to find it all a little bittersweet,Tim McGraw,Taylor Swift
1,25,"And lookin' back on all of that, it's nice to believe",Tim McGraw,Taylor Swift
1,26,When you think Tim McGraw,Tim McGraw,Taylor Swift
1,27,I hope you think my favorite song,Tim McGraw,Taylor Swift
1,28,The one we danced to all night long,Tim McGraw,Taylor Swift
1,29,The moon like a spotlight on the lake,Tim McGraw,Taylor Swift
1,30,When you think happiness,Tim McGraw,Taylor Swift
1,31,I hope you think that little black dress,Tim McGraw,Taylor Swift
1,32,Think of my head on your chest,Tim McGraw,Taylor Swift
1,33,And my old faded blue jeans,Tim McGraw,Taylor Swift
1,34,When you think Tim McGraw,Tim McGraw,Taylor Swift
1,35,I hope you think of me,Tim McGraw,Taylor Swift
1,36,And I'm back for the first time since then,Tim McGraw,Taylor Swift
1,37,I'm standin' on your street,Tim McGraw,Taylor Swift
1,38,And there's a letter left on your doorstep,Tim McGraw,Taylor Swift
1,39,"And the first thing that you'll read is:""When you think Tim McGraw",Tim McGraw,Taylor Swift
1,40,I hope you think my favorite song,Tim McGraw,Taylor Swift
1,41,Someday you'll turn your radio on,Tim McGraw,Taylor Swift
1,42,"I hope it takes you back to that place""",Tim McGraw,Taylor Swift
1,43,When you think happiness,Tim McGraw,Taylor Swift
1,44,I hope you think that little black dress,Tim McGraw,Taylor Swift
1,45,Think of my head on your chest,Tim McGraw,Taylor Swift
1,46,And my old faded blue jeans,Tim McGraw,Taylor Swift
